SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,Owned,Wanted,QtyOwned
3835,7200,1,Star Wars,Episode VI,2002,Final Duel I,2,31,5.99,7,,,http://images.brickset.com/sets/images/7200-1.jpg,No,No,0
22772,May-13,1,Star Wars,Promotional,2013,Holocron Droid,,31,,,,,http://images.brickset.com/sets/images/MAY2013-1.jpg,No,No,0
1472,3343,1,Star Wars,Minifig Pack,2000,2 Battle Droids and Command Officer Minifig Pack - Star Wars #4,3,30,,5,,,http://images.brickset.com/sets/images/3343-1.jpg,No,No,0
7230,30005,1,Star Wars,Episode VI,2009,Imperial Speeder Bike,1,30,3.99,3.99,,,http://images.brickset.com/sets/images/30005-1.jpg,No,No,0
7231,30006,1,Star Wars,The Clone Wars,2009,Clone Walker,1,30,3.99,,,,http://images.brickset.com/sets/images/30006-1.jpg,No,No,0
7199,30004,1,Star Wars,The Clone Wars,2009,Battle Droid on STAP,1,28,,,,,http://images.brickset.com/sets/images/30004-1.jpg,No,No,0
25725,TRUXWING,2,Star Wars,Promotional,2015,Poe's X-Wing Fighter,,27,,,,,http://images.brickset.com/sets/images/TRUXWING-2.jpg,No,No,0
3836,7201,1,Star Wars,Episode VI,2002,Final Duel II,3,26,5.99,7,,,http://images.brickset.com/sets/images/7201-1.jpg,No,No,0
9413,PROMOSW004,1,Star Wars,Minifig Pack,2007,Star Wars Celebration IV Exclusive,,26,,49.99,,,,No,No,0
3736,6964,1,Star Wars,Mini Building Set,2004,Boba Fett's Slave I,,25,,,,,http://images.brickset.com/sets/images/6964-1.jpg,No,No,0
24406,5002939,1,Star Wars,Rebels,2015,The Phantom,,25,,,,,http://images.brickset.com/sets/images/5002939-1.jpg,No,No,0
9220,30058,1,Star Wars,Mini Building Set,2012,STAP,1,24,,,,,http://images.brickset.com/sets/images/30058-1.jpg,No,No,0
24651,SWCOMIC1,1,Star Wars,Magazine Gift,2015,Mini X-Wing Starfighter,,23,,,,,http://images.brickset.com/sets/images/SWCOMIC1-1.jpg,No,No,0
23670,TRUXWING,1,Star Wars,Promotional,2014,X-Wing,,23,,,,,http://images.brickset.com/sets/images/TRUXWING-1.jpg,No,No,0
1470,3341,1,Star Wars,Minifig Pack,2000,"Luke Skywalker, Han Solo and Boba Fett Minifig Pack - Star Wars #2",3,22,,5,,,http://images.brickset.com/sets/images/3341-1.jpg,No,No,0
1471,3342,1,Star Wars,Minifig Pack,2000,Chewbacca and 2 Biker Scouts Minifig Pack - Star Wars #3,3,22,,5,,,http://images.brickset.com/sets/images/3342-1.jpg,No,No,0
8657,COMCON006,1,Star Wars,Miscellaneous,2009,Collectable Display Set 4,3,15,,49.99,,,http://images.brickset.com/sets/images/COMCON006-1.jpg,No,No,0
